top_performer, avg_parent, avg_total
-52161.3,-62876.1,-321898
-2015.56,-28029,-294273
-2015.56,-3491.91,-523584
-2015.56,-2427.3,-233173
-2015.56,-2042.87,-352413
-2015.56,-2031.98,-344394
-2015.56,-2025.85,-308921
-2015.56,-2019.2,-182314
-2015.56,-2016.01,-225577
-521.406,-1642.02,-517968
-521.406,-1332.41,-274579
-519.301,-784.533,-194644
-519.301,-520.213,-202338
-519.301,-519.7,-249321
-519.301,-519.449,-174515
-519.301,-519.307,-156806
-519.301,-519.301,-227984
-519.301,-519.301,-354436
-519.301,-519.301,-235238
-519.301,-519.301,-252661
-519.301,-519.301,-265484
-519.301,-519.301,-271006
-519.301,-519.301,-359480
-519.301,-519.301,-1.14787e+06
-519.301,-519.301,-371016
-519.301,-519.301,-488242
-519.301,-519.301,-347992
-519.301,-519.301,-323720
-519.301,-519.301,-188219
-519.301,-519.301,-302559
83.4337,-368.617,-205597
83.4337,-149.294,-608722
83.4337,18.7211,-323076
83.4337,64.155,-406065
83.4337,79.751,-247529
83.4337,82.6577,-211591
83.4337,83.3092,-201235
83.4337,83.4037,-250822
83.4337,83.4179,-297757
83.4337,83.4275,-258015
83.4337,83.4309,-196015
83.4337,83.4321,-238142
83.4337,83.4334,-267759
83.4337,83.4336,-434115
83.4337,83.4337,-261274
83.4337,83.4337,-270646
83.4337,83.4337,-194388
83.4337,83.4337,-752000
473.338,180.91,-202283
631.667,451.628,-252160
642.269,632.165,-214714
642.269,640.638,-308843
642.373,642.313,-229858
642.373,642.364,-207786
642.373,642.371,-239503
642.373,642.372,-265994
642.373,642.373,-247893
642.373,642.373,-335661
642.373,642.373,-277301
642.373,642.373,-217709
642.373,642.373,-452816
642.373,642.373,-285694
642.373,642.373,-237199
642.373,642.373,-386769
642.373,642.373,-338723
642.373,642.373,-403181
642.373,642.373,-448903
642.373,642.373,-159693
642.373,642.373,-173040
642.373,642.373,-329765
642.373,642.373,-246184
642.373,642.373,-1.03268e+06
642.373,642.373,-251850
642.373,642.373,-403431
642.373,642.373,-291825
642.373,642.373,-201149
642.373,642.373,-147826
642.373,642.373,-414084
642.373,642.373,-186227
642.373,642.373,-289098
642.373,642.373,-289276
642.373,642.373,-297009
642.373,642.373,-193349
642.373,642.373,-211674
642.373,642.373,-540769
642.373,642.373,-186990
642.373,642.373,-288124
642.373,642.373,-180504
642.373,642.373,-173940
642.373,642.373,-201939
642.373,642.373,-263123
642.373,642.373,-3.23464e+06
642.373,642.373,-267214
642.373,642.373,-391263
642.373,642.373,-280754
